日期,河名,站名,水位,流量,含沙量
2010/1/1,黄河                          ,唐乃亥                        ,2670.93,267,-
2010/1/1,黄河                          ,龙羊峡入库,-,283,-
2010/1/1,黄河                          ,龙羊峡蓄水量,2591.47,(215)亿,-
2010/1/1,黄河                          ,龙羊峡出库,-,536,-
2010/1/1,黄河                          ,刘家峡入库,-,588,-
2010/1/1,黄河                          ,刘家峡蓄水量,1728.14,(31.8)亿,-
2010/1/1,黄河                          ,刘家峡出库,-,486,-
2010/1/1,黄河                          ,兰州                          ,1510.73,442,-
2010/1/1,黄河                          ,下河沿                        ,1229.06,457,-
2010/1/1,黄河                          ,石嘴山                        ,1085.93,673,-
2010/1/1,黄河                          ,巴彦高勒                      ,1053.23,360,-
2010/1/1,黄河                          ,三湖河口                      ,1018.49,390,-
2010/1/1,黄河                          ,包头                          ,-,-,-
2010/1/1,黄河                          ,头道拐                        ,987.81,215,-
2010/1/1,黄河                          ,万家寨蓄水量,971.03,(3.14)亿,-
2010/1/1,黄河                          ,万家寨上出库,-,10,-
2010/1/1,黄河                          ,万家寨下                      ,894.44,10,-
2010/1/1,黄河                          ,府谷                          ,808.48,430,-
2010/1/1,黄河                          ,吴堡                          ,636.54,411,*22.6
2010/1/1,黄河                          ,龙门                          ,381.62,440,*42.6
2010/1/1,汾河                          ,河津                          ,371.36,16.1,*0.661
2010/1/1,北洛河                        ,状头                          ,361.34,1.26,-
2010/1/1,泾河                          ,张家山                        ,420.36,2.07,-
2010/1/1,渭河                          ,咸阳                          ,381.15,37.8,-
2010/1/1,渭河                          ,华县(二)                      ,335.18,63,*11.5
2010/1/1,黄河                          ,潼关                          ,325.57,475,*22.4
2010/1/1,黄河                          ,史家滩蓄水量,314.28,(1.75)亿,-
2010/1/1,黄河                          ,三门峡                        ,271.14,35,*29.1
2010/1/1,黄河                          ,小浪底上蓄水量,240.14,(32.3)亿,-
2010/1/1,黄河                          ,小浪底                        ,133.27,578,*77.6
2010/1/1,伊河                          ,东湾                          ,-,-,-
2010/1/1,伊河                          ,陆浑坝上蓄水量,314.31,(4.70)亿,-
2010/1/1,伊河                          ,陆浑坝上出库,-,-,-
2010/1/1,伊河                          ,龙门镇                        ,147.45,5.85,-
2010/1/1,洛河                          ,卢氏                          ,-,-,-
2010/1/1,洛河                          ,故县水库蓄水量,533,(6.38)亿,-
2010/1/1,洛河                          ,故县水库出库,-,-,-
2010/1/1,洛河                          ,长水（二）                    ,377.92,0.38,-
2010/1/1,洛河                          ,白马寺                        ,114.21,37.1,-
2010/1/1,伊洛河                        ,黑石关                        ,104.08,49.8,-
2010/1/1,丹河                          ,山路坪                        ,-,-,-
2010/1/1,沁河                          ,五龙口                        ,-,-,-
2010/1/1,沁河                          ,武陟                          ,100.19,3.7,-
2010/1/1,黄河                          ,花园口                        ,89.13,585,-
2010/1/1,黄河                          ,夹河滩                        ,72.19,515,-
2010/1/1,黄河                          ,高村                          ,58.64,458,1.59
2010/1/1,黄河                          ,孙口                          ,43.62,566,1.74
2010/1/1,大汶河                        ,戴村坝,-,-,-
2010/1/1,东平湖                        ,东平湖老湖蓄水量,42.22,(4.17)亿,-
2010/1/1,大汶河                        ,出湖闸,-,-,-
2010/1/1,黄河                          ,艾山                          ,36.82,350,1.8
2010/1/1,黄河                          ,泺口                          ,25.48,492,-
2010/1/1,黄河                          ,利津                          ,9.13,342,-
2010/1/2,黄河                          ,唐乃亥                        ,2670.95,274,-
2010/1/2,黄河                          ,龙羊峡入库,-,251,-
2010/1/2,黄河                          ,龙羊峡蓄水量,2591.42,(215)亿,-
2010/1/2,黄河                          ,龙羊峡出库,-,465,-
2010/1/2,黄河                          ,刘家峡入库,-,561,-
2010/1/2,黄河                          ,刘家峡蓄水量,1728.21,(31.9)亿,-
2010/1/2,黄河                          ,刘家峡出库,-,457,-
2010/1/2,黄河                          ,兰州                          ,1511,573,-
2010/1/2,黄河                          ,下河沿                        ,1229.44,638,-
2010/1/2,黄河                          ,石嘴山                        ,1085.98,680,-
2010/1/2,黄河                          ,巴彦高勒                      ,1053.27,500,-
2010/1/2,黄河                          ,三湖河口                      ,1018.53,400,-
2010/1/2,黄河                          ,包头                          ,-,-,-
2010/1/2,黄河                          ,头道拐                        ,987.77,200,-
2010/1/2,黄河                          ,万家寨蓄水量,970.54,(3.05)亿,-
2010/1/2,黄河                          ,万家寨上出库,-,10,-
2010/1/2,黄河                          ,万家寨下                      ,894.44,10,-
2010/1/2,黄河                          ,府谷                          ,807.84,264,-
2010/1/2,黄河                          ,吴堡                          ,636.51,394,*22.6
2010/1/2,黄河                          ,龙门                          ,381.32,351,*42.6
2010/1/2,汾河                          ,河津                          ,371.42,16.3,*0.661
2010/1/2,北洛河                        ,状头                          ,361.33,1.11,-
2010/1/2,泾河                          ,张家山                        ,420.36,2.07,-
2010/1/2,渭河                          ,咸阳                          ,381.12,34.3,-
2010/1/2,渭河                          ,华县(二)                      ,335.21,73,*11.5
2010/1/2,黄河                          ,潼关                          ,325.65,505,*22.4
2010/1/2,黄河                          ,史家滩蓄水量,314.48,(1.82)亿,-
2010/1/2,黄河                          ,三门峡                        ,272.02,105,*29.1
2010/1/2,黄河                          ,小浪底上蓄水量,240.08,(32.2)亿,-
2010/1/2,黄河                          ,小浪底                        ,133.54,764,*77.6
2010/1/2,伊河                          ,东湾                          ,-,-,-
2010/1/2,伊河                          ,陆浑坝上蓄水量,314.31,(4.70)亿,-
2010/1/2,伊河                          ,陆浑坝上出库,-,-,-
2010/1/2,伊河                          ,龙门镇                        ,147.45,5.85,-
2010/1/2,洛河                          ,卢氏                          ,-,-,-
2010/1/2,洛河                          ,故县水库蓄水量,532.98,(6.38)亿,-
2010/1/2,洛河                          ,故县水库出库,-,-,-
2010/1/2,洛河                          ,长水（二）                    ,377.96,0.55,-
2010/1/2,洛河                          ,白马寺                        ,114.23,39.1,-
2010/1/2,伊洛河                        ,黑石关                        ,104.21,61.7,-
2010/1/2,丹河                          ,山路坪                        ,-,-,-
2010/1/2,沁河                          ,五龙口                        ,-,-,-
2010/1/2,沁河                          ,武陟                          ,100.18,3.7,-
2010/1/2,黄河                          ,花园口                        ,88.94,505,-
2010/1/2,黄河                          ,夹河滩                        ,72.23,490,-
2010/1/2,黄河                          ,高村                          ,58.49,400,1.37
2010/1/2,黄河                          ,孙口                          ,43.5,491,1.32
2010/1/2,大汶河                        ,戴村坝,-,-,-
2010/1/2,东平湖                        ,东平湖老湖蓄水量,42.22,(4.17)亿,-
2010/1/2,大汶河                        ,出湖闸,-,-,-
2010/1/2,黄河                          ,艾山                          ,36.9,465,1.91
2010/1/2,黄河                          ,泺口                          ,25.38,385,-
2010/1/2,黄河                          ,利津                          ,9.32,394,-
2010/1/3,黄河                          ,唐乃亥                        ,2670.96,278,-
2010/1/3,黄河                          ,龙羊峡入库,-,184,-
2010/1/3,黄河                          ,龙羊峡蓄水量,2591.35,(215)亿,-
2010/1/3,黄河                          ,龙羊峡出库,-,478,-
2010/1/3,黄河                          ,刘家峡入库,-,600,-
2010/1/3,黄河                          ,刘家峡蓄水量,1728.35,(32.1)亿,-
2010/1/3,黄河                          ,刘家峡出库,-,455,-
2010/1/3,黄河                          ,兰州                          ,1510.86,503,-
2010/1/3,黄河                          ,下河沿                        ,1229.14,493,-
2010/1/3,黄河                          ,石嘴山                        ,1085.56,540,-
2010/1/3,黄河                          ,巴彦高勒                      ,1053.27,500,-
2010/1/3,黄河                          ,三湖河口                      ,1018.53,400,-
2010/1/3,黄河                          ,包头                          ,-,-,-
2010/1/3,黄河                          ,头道拐                        ,987.76,193,-
2010/1/3,黄河                          ,万家寨蓄水量,969.84,(2.91)亿,-
2010/1/3,黄河                          ,万家寨上出库,-,111,-
2010/1/3,黄河                          ,万家寨下                      ,895.24,111,-
2010/1/3,黄河                          ,府谷                          ,807.82,259,-
2010/1/3,黄河                          ,吴堡                          ,636.61,459,*22.6
2010/1/3,黄河                          ,龙门                          ,381.35,360,*42.6
2010/1/3,汾河                          ,河津                          ,371.24,15.7,*0.661
2010/1/3,北洛河                        ,状头                          ,361.33,1.11,-
2010/1/3,泾河                          ,张家山                        ,420.37,2.24,-
2010/1/3,渭河                          ,咸阳                          ,381.13,35.5,-
2010/1/3,渭河                          ,华县(二)                      ,335.14,67,*11.5
2010/1/3,黄河                          ,潼关                          ,325.46,370,*22.4
2010/1/3,黄河                          ,史家滩蓄水量,315.77,(2.37)亿,-
2010/1/3,黄河                          ,三门峡                        ,271.15,35.5,*29.1
2010/1/3,黄河                          ,小浪底上蓄水量,239.96,(32)亿,-
2010/1/3,黄河                          ,小浪底                        ,133.4,663,*77.6
2010/1/3,伊河                          ,东湾                          ,-,-,-
2010/1/3,伊河                          ,陆浑坝上蓄水量,314.32,(4.70)亿,-
2010/1/3,伊河                          ,陆浑坝上出库,-,-,-
2010/1/3,伊河                          ,龙门镇                        ,147.44,5.45,-
2010/1/3,洛河                          ,卢氏                          ,-,-,-
2010/1/3,洛河                          ,故县水库蓄水量,532.98,(6.38)亿,-
2010/1/3,洛河                          ,故县水库出库,-,-,-
2010/1/3,洛河                          ,长水（二）                    ,377.96,0.55,-
2010/1/3,洛河                          ,白马寺                        ,114.1,25.4,-
2010/1/3,伊洛河                        ,黑石关                        ,104.14,55.8,-
2010/1/3,丹河                          ,山路坪                        ,-,-,-
2010/1/3,沁河                          ,五龙口                        ,-,-,-
2010/1/3,沁河                          ,武陟                          ,100.18,3.7,-
2010/1/3,黄河                          ,花园口                        ,89.16,570,-
2010/1/3,黄河                          ,夹河滩                        ,72.19,465,-
2010/1/3,黄河                          ,高村                          ,58.39,370,1.47
2010/1/3,黄河                          ,孙口                          ,43.71,622,2.02
2010/1/3,大汶河                        ,戴村坝,-,-,-
2010/1/3,东平湖                        ,东平湖老湖蓄水量,42.22,(4.17)亿,-
2010/1/3,大汶河                        ,出湖闸,-,-,-
2010/1/3,黄河                          ,艾山                          ,36.95,498,2.64
2010/1/3,黄河                          ,泺口                          ,25.35,374,-
2010/1/3,黄河                          ,利津                          ,9.3,392,-
2010/1/4,黄河                          ,唐乃亥                        ,2670.94,271,-
2010/1/4,黄河                          ,龙羊峡入库,-,199,-
2010/1/4,黄河                          ,龙羊峡蓄水量,2591.27,(215)亿,-
2010/1/4,黄河                          ,龙羊峡出库,-,532,-
2010/1/4,黄河                          ,刘家峡入库,-,622,-
2010/1/4,黄河                          ,刘家峡蓄水量,1728.47,(32.2)亿,-
2010/1/4,黄河                          ,刘家峡出库,-,450,-
2010/1/4,黄河                          ,兰州                          ,1510.89,517,-
2010/1/4,黄河                          ,下河沿                        ,1229.29,562,-
2010/1/4,黄河                          ,石嘴山                        ,1085.79,640,-
