日期,河名,站名,水位,流量,含沙量
2016/1/1,黄河                          ,唐乃亥                        ,2670.25,152,-
2016/1/1,黄河                          ,龙羊峡入库,-,165,-
2016/1/1,黄河                          ,龙羊峡蓄水量,2577.72,(169)亿,-
2016/1/1,黄河                          ,龙羊峡出库,-,532,-
2016/1/1,黄河                          ,刘家峡入库,-,506,-
2016/1/1,黄河                          ,刘家峡蓄水量,1723.93,(27)亿,-
2016/1/1,黄河                          ,刘家峡出库,-,396,-
2016/1/1,黄河                          ,兰州                          ,1510.4,406,-
2016/1/1,黄河                          ,下河沿                        ,1229,439,-
2016/1/1,黄河                          ,石嘴山                        ,1085.22,527,-
2016/1/1,黄河                          ,巴彦高勒                      ,1050.66,521,-
2016/1/1,黄河                          ,三湖河口                      ,1017.85,406,-
2016/1/1,黄河                          ,包头                          ,1003.14,357,-
2016/1/1,黄河                          ,头道拐                        ,987.23,331,-
2016/1/1,黄河                          ,万家寨蓄水量,968.72,(1.97)亿,-
2016/1/1,黄河                          ,万家寨上出库,-,629,-
2016/1/1,黄河                          ,万家寨下                      ,899.18,629,-
2016/1/1,黄河                          ,府谷                          ,805.94,197,-
2016/1/1,黄河                          ,吴堡                          ,635.17,147,*22.6
2016/1/1,黄河                          ,龙门                          ,379.4,261,*42.6
2016/1/1,汾河                          ,河津                          ,370.24,6.9,*0.661
2016/1/1,北洛河                        ,状头                          ,361.27,0.478,-
2016/1/1,泾河                          ,张家山                        ,420.26,1.3,-
2016/1/1,渭河                          ,咸阳                          ,380.17,16.9,-
2016/1/1,渭河                          ,华县(二)                      ,333.64,56.4,*11.5
2016/1/1,黄河                          ,潼关                          ,325.48,513,*22.4
2016/1/1,黄河                          ,史家滩蓄水量,317.76,(4.69)亿,-
2016/1/1,黄河                          ,三门峡                        ,272.87,289,*29.1
2016/1/1,黄河                          ,小浪底上蓄水量,252.74,(45.1)亿,-
2016/1/1,黄河                          ,小浪底                        ,133.8,442,*77.6
2016/1/1,伊河                          ,东湾                          ,-,-,-
2016/1/1,伊河                          ,陆浑坝上蓄水量,315.19,(5)亿,-
2016/1/1,伊河                          ,陆浑坝上出库,-,-,-
2016/1/1,伊河                          ,龙门镇                        ,147.41,7.8,-
2016/1/1,洛河                          ,卢氏                          ,-,-,-
2016/1/1,洛河                          ,故县水库蓄水量,526.77,(5.24)亿,-
2016/1/1,洛河                          ,故县水库出库,-,-,-
2016/1/1,洛河                          ,长水（二）                    ,377.88,1.71,-
2016/1/1,洛河                          ,白马寺                        ,113.85,21.7,-
2016/1/1,伊洛河                        ,黑石关                        ,104.77,30.6,-
2016/1/1,丹河                          ,山路坪                        ,-,-,-
2016/1/1,沁河                          ,五龙口                        ,-,-,-
2016/1/1,沁河                          ,武陟                          ,98.69,4.5,-
2016/1/1,黄河                          ,花园口                        ,87.78,436,*8.34
2016/1/1,黄河                          ,夹河滩                        ,71.4,410,*8.47
2016/1/1,黄河                          ,高村                          ,57.77,369,*7.02
2016/1/1,黄河                          ,孙口                          ,42.81,360,*15
2016/1/1,大汶河                        ,戴村坝,-,-,-
2016/1/1,东平湖                        ,东平湖老湖蓄水量,40.22,(1.58)亿,-
2016/1/1,大汶河                        ,出湖闸,-,-,-
2016/1/1,黄河                          ,艾山                          ,35.89,294,*14.3
2016/1/1,黄河                          ,泺口                          ,24.23,206,*19.6
2016/1/1,黄河                          ,利津                          ,8.18,133,*10.5
2016/1/2,黄河                          ,唐乃亥                        ,2670.2,143,-
2016/1/2,黄河                          ,龙羊峡入库,-,148,-
2016/1/2,黄河                          ,龙羊峡蓄水量,2577.64,(169)亿,-
2016/1/2,黄河                          ,龙羊峡出库,-,473,-
2016/1/2,黄河                          ,刘家峡入库,-,615,-
2016/1/2,黄河                          ,刘家峡蓄水量,1723.98,(27)亿,-
2016/1/2,黄河                          ,刘家峡出库,-,403,-
2016/1/2,黄河                          ,兰州                          ,1510.57,489,-
2016/1/2,黄河                          ,下河沿                        ,1229.1,482,-
2016/1/2,黄河                          ,石嘴山                        ,1085.22,527,-
2016/1/2,黄河                          ,巴彦高勒                      ,1050.62,500,-
2016/1/2,黄河                          ,三湖河口                      ,1017.85,404,-
2016/1/2,黄河                          ,包头                          ,1003.15,338,-
2016/1/2,黄河                          ,头道拐                        ,987.25,372,-
2016/1/2,黄河                          ,万家寨蓄水量,968.59,(1.94)亿,-
2016/1/2,黄河                          ,万家寨上出库,-,250,-
2016/1/2,黄河                          ,万家寨下                      ,898.46,250,-
