日期,河名,站名,水位,流量,含沙量
2021/1/1,黄河                          ,唐乃亥                        ,2670.64,262,-
2021/1/1,黄河                          ,龙羊峡入库,-,279,-
2021/1/1,黄河                          ,龙羊峡蓄水量,2598.3,(236)亿,-
2021/1/1,黄河                          ,龙羊峡出库,-,612,-
2021/1/1,黄河                          ,刘家峡入库,-,765,-
2021/1/1,黄河                          ,刘家峡蓄水量,1727.62,(30.5)亿,-
2021/1/1,黄河                          ,刘家峡出库,-,624,-
2021/1/1,黄河                          ,兰州                          ,1510.69,688,-
2021/1/1,黄河                          ,下河沿                        ,1229.68,812,-
2021/1/1,黄河                          ,石嘴山                        ,1085.76,792,-
2021/1/1,黄河                          ,巴彦高勒                      ,1052.46,522,-
2021/1/1,黄河                          ,三湖河口                      ,1018.3,771,-
2021/1/1,黄河                          ,包头                          ,1003.48,675,-
2021/1/1,黄河                          ,头道拐                        ,988.56,591,-
2021/1/1,黄河                          ,万家寨蓄水量,967.79,(2.71)亿,-
2021/1/1,黄河                          ,万家寨上出库,-,286,-
2021/1/1,黄河                          ,万家寨下                      ,899.06,286,-
2021/1/1,黄河                          ,府谷                          ,807.38,548,-
2021/1/1,黄河                          ,吴堡                          ,636.4,780,*30.3
2021/1/1,黄河                          ,龙门                          ,377.52,540,*87.1
2021/1/1,汾河                          ,河津                          ,370.45,15.6,*0.529
2021/1/1,北洛河                        ,状头                          ,360.72,12.9,-
2021/1/1,泾河                          ,张家山                        ,419.87,17.7,-
2021/1/1,渭河                          ,咸阳                          ,376.59,59.6,-
2021/1/1,渭河                          ,华县(二)                      ,334.17,147,*2.95
2021/1/1,黄河                          ,潼关                          ,325.76,810,*42
2021/1/1,黄河                          ,史家滩蓄水量,317.13,(5.04)亿,-
2021/1/1,黄河                          ,三门峡                        ,273.5,530,*80.3
2021/1/1,黄河                          ,小浪底上蓄水量,262.72,(64.3)亿,-
2021/1/1,黄河                          ,小浪底                        ,134.39,1160,*25.9
2021/1/1,伊河                          ,东湾                          ,-,-,-
2021/1/1,伊河                          ,陆浑坝上蓄水量,314.24,(4.69)亿,-
2021/1/1,伊河                          ,陆浑坝上出库,-,-,-
2021/1/1,伊河                          ,龙门镇                        ,147.38,9.47,-
2021/1/1,洛河                          ,卢氏                          ,-,-,-
2021/1/1,洛河                          ,故县水库蓄水量,526.88,(5.03)亿,-
2021/1/1,洛河                          ,故县水库出库,-,-,-
2021/1/1,洛河                          ,长水（二）                    ,378.01,4.9,-
2021/1/1,洛河                          ,白马寺                        ,113.52,25.6,-
2021/1/1,伊洛河                        ,黑石关                        ,104.5,21.7,-
2021/1/1,丹河                          ,山路坪                        ,-,-,-
2021/1/1,沁河                          ,五龙口                        ,-,-,-
2021/1/1,沁河                          ,武陟                          ,98.21,1.81,-
2021/1/1,黄河                          ,花园口                        ,88.53,629,*10.8
2021/1/1,黄河                          ,夹河滩                        ,71.29,675,*6.01
2021/1/1,黄河                          ,高村                          ,57.48,574,*13.8
2021/1/1,黄河                          ,孙口                          ,42.97,665,*16.7
2021/1/1,大汶河                        ,戴村坝,-,-,-
2021/1/1,东平湖                        ,东平湖老湖蓄水量,41.51,(5.36)亿,-
2021/1/1,大汶河                        ,出湖闸,-,-,-
2021/1/1,黄河                          ,艾山                          ,36.16,629,*20.5
2021/1/1,黄河                          ,泺口                          ,24.55,532,*12.3
2021/1/1,黄河                          ,利津                          ,8.85,399,*16.6
2021/1/2,黄河                          ,唐乃亥                        ,2670.62,256,-
2021/1/2,黄河                          ,龙羊峡入库,-,236,-
2021/1/2,黄河                          ,龙羊峡蓄水量,2598.24,(236)亿,-
2021/1/2,黄河                          ,龙羊峡出库,-,607,-
2021/1/2,黄河                          ,刘家峡入库,-,644,-
2021/1/2,黄河                          ,刘家峡蓄水量,1727.72,(30.6)亿,-
2021/1/2,黄河                          ,刘家峡出库,-,602,-
2021/1/2,黄河                          ,兰州                          ,1510.18,440,-
2021/1/2,黄河                          ,下河沿                        ,1229.57,754,-
2021/1/2,黄河                          ,石嘴山                        ,1085.92,870,-
2021/1/2,黄河                          ,巴彦高勒                      ,1052.56,526,-
2021/1/2,黄河                          ,三湖河口                      ,1018.23,693,-
2021/1/2,黄河                          ,包头                          ,1003.5,700,-
2021/1/2,黄河                          ,头道拐                        ,988.6,656,-
2021/1/2,黄河                          ,万家寨蓄水量,968.19,(2.78)亿,-
2021/1/2,黄河                          ,万家寨上出库,-,909,-
2021/1/2,黄河                          ,万家寨下                      ,899.84,909,-
2021/1/2,黄河                          ,府谷                          ,807.34,531,-
2021/1/2,黄河                          ,吴堡                          ,636.18,620,*30.3
2021/1/2,黄河                          ,龙门                          ,377.5,602,*87.1
2021/1/2,汾河                          ,河津                          ,370.46,15.8,*0.529
2021/1/2,北洛河                        ,状头                          ,360.7,11.4,-
2021/1/2,泾河                          ,张家山                        ,419.79,12.6,-
2021/1/2,渭河                          ,咸阳                          ,376.54,53,-
2021/1/2,渭河                          ,华县(二)                      ,334.21,153,*2.95
2021/1/2,黄河                          ,潼关                          ,325.66,710,*42
2021/1/2,黄河                          ,史家滩蓄水量,317.04,(4.96)亿,-
2021/1/2,黄河                          ,三门峡                        ,274.44,1090,*80.3
2021/1/2,黄河                          ,小浪底上蓄水量,262.77,(64.4)亿,-
2021/1/2,黄河                          ,小浪底                        ,133.91,561,*25.9
2021/1/2,伊河                          ,东湾                          ,-,-,-
2021/1/2,伊河                          ,陆浑坝上蓄水量,314.24,(4.69)亿,-
2021/1/2,伊河                          ,陆浑坝上出库,-,-,-
2021/1/2,伊河                          ,龙门镇                        ,147.38,9.47,-
2021/1/2,洛河                          ,卢氏                          ,-,-,-
2021/1/2,洛河                          ,故县水库蓄水量,526.94,(5.03)亿,-
2021/1/2,洛河                          ,故县水库出库,-,-,-
2021/1/2,洛河                          ,长水（二）                    ,378.01,4.9,-
2021/1/2,洛河                          ,白马寺                        ,113.64,28.3,-
2021/1/2,伊洛河                        ,黑石关                        ,104.69,31.9,-
2021/1/2,丹河                          ,山路坪                        ,-,-,-
2021/1/2,沁河                          ,五龙口                        ,-,-,-
2021/1/2,沁河                          ,武陟                          ,98.18,1.38,-
2021/1/2,黄河                          ,花园口                        ,88.52,621,*10.8
2021/1/2,黄河                          ,夹河滩                        ,71.26,645,*6.01
2021/1/2,黄河                          ,高村                          ,57.45,551,*13.8
2021/1/2,黄河                          ,孙口                          ,42.91,568,*16.7
2021/1/2,大汶河                        ,戴村坝,-,-,-
2021/1/2,东平湖                        ,东平湖老湖蓄水量,41.49,(5.33)亿,-
2021/1/2,大汶河                        ,出湖闸,-,-,-
2021/1/2,黄河                          ,艾山                          ,36.23,670,*20.5
2021/1/2,黄河                          ,泺口                          ,24.48,507,*12.3
2021/1/2,黄河                          ,利津                          ,8.97,461,*16.6
2021/1/3,黄河                          ,唐乃亥                        ,2670.7,280,-
2021/1/3,黄河                          ,龙羊峡入库,-,239,-
2021/1/3,黄河                          ,龙羊峡蓄水量,2598.15,(235)亿,-
2021/1/3,黄河                          ,龙羊峡出库,-,618,-
2021/1/3,黄河                          ,刘家峡入库,-,1020,-
2021/1/3,黄河                          ,刘家峡蓄水量,1728.05,(31)亿,-
2021/1/3,黄河                          ,刘家峡出库,-,578,-
2021/1/3,黄河                          ,兰州                          ,1510.48,577,-
2021/1/3,黄河                          ,下河沿                        ,1229.85,910,-
2021/1/3,黄河                          ,石嘴山                        ,1086.19,805,-
2021/1/3,黄河                          ,巴彦高勒                      ,1052.52,524,-
2021/1/3,黄河                          ,三湖河口                      ,1018.05,649,-
2021/1/3,黄河                          ,包头                          ,1003.5,700,-
2021/1/3,黄河                          ,头道拐                        ,988.6,656,-
2021/1/3,黄河                          ,万家寨蓄水量,968.21,(2.78)亿,-
2021/1/3,黄河                          ,万家寨上出库,-,1100,-
2021/1/3,黄河                          ,万家寨下                      ,900.06,1100,-
2021/1/3,黄河                          ,府谷                          ,807.51,608,-
2021/1/3,黄河                          ,吴堡                          ,636.23,655,*30.3
2021/1/3,黄河                          ,龙门                          ,377.42,531,*87.1
2021/1/3,汾河                          ,河津                          ,370.5,16.8,*0.529
2021/1/3,北洛河                        ,状头                          ,360.7,11.1,-
2021/1/3,泾河                          ,张家山                        ,419.75,10,-
2021/1/3,渭河                          ,咸阳                          ,376.58,58.2,-
2021/1/3,渭河                          ,华县(二)                      ,334.13,141,*2.95
2021/1/3,黄河                          ,潼关                          ,325.84,830,*42
2021/1/3,黄河                          ,史家滩蓄水量,316.97,(4.90)亿,-
2021/1/3,黄河                          ,三门峡                        ,273.54,552,*80.3
2021/1/3,黄河                          ,小浪底上蓄水量,262.92,(64.7)亿,-
2021/1/3,黄河                          ,小浪底                        ,133.84,536,*25.9
2021/1/3,伊河                          ,东湾                          ,-,-,-
2021/1/3,伊河                          ,陆浑坝上蓄水量,314.22,(4.68)亿,-
2021/1/3,伊河                          ,陆浑坝上出库,-,-,-
2021/1/3,伊河                          ,龙门镇                        ,147.37,8.95,-
2021/1/3,洛河                          ,卢氏                          ,-,-,-
2021/1/3,洛河                          ,故县水库蓄水量,526.88,(5.02)亿,-
2021/1/3,洛河                          ,故县水库出库,-,-,-
2021/1/3,洛河                          ,长水（二）                    ,377.86,1.8,-
2021/1/3,洛河                          ,白马寺                        ,113.49,25.8,-
2021/1/3,伊洛河                        ,黑石关                        ,105.06,56.4,-
2021/1/3,丹河                          ,山路坪                        ,-,-,-
2021/1/3,沁河                          ,五龙口                        ,-,-,-
2021/1/3,沁河                          ,武陟                          ,98.21,1.81,-
2021/1/3,黄河                          ,花园口                        ,88.44,568,*10.8
2021/1/3,黄河                          ,夹河滩                        ,71.23,620,*6.01
2021/1/3,黄河                          ,高村                          ,57.4,533,*13.8
2021/1/3,黄河                          ,孙口                          ,43.01,633,*16.7
2021/1/3,大汶河                        ,戴村坝,-,-,-
2021/1/3,东平湖                        ,东平湖老湖蓄水量,41.46,(5.28)亿,-
2021/1/3,大汶河                        ,出湖闸,-,-,-
2021/1/3,黄河                          ,艾山                          ,36.07,504,*20.5
2021/1/3,黄河                          ,泺口                          ,24.63,560,*12.3
2021/1/3,黄河                          ,利津                          ,8.96,455,*16.6
2021/1/4,黄河                          ,唐乃亥                        ,2670.66,268,-
2021/1/4,黄河                          ,龙羊峡入库,-,225,-
2021/1/4,黄河                          ,龙羊峡蓄水量,2598.09,(235)亿,-
2021/1/4,黄河                          ,龙羊峡出库,-,615,-
2021/1/4,黄河                          ,刘家峡入库,-,893,-
2021/1/4,黄河                          ,刘家峡蓄水量,1728.16,(31.2)亿,-
2021/1/4,黄河                          ,刘家峡出库,-,582,-
2021/1/4,黄河                          ,兰州                          ,1510.38,528,-
2021/1/4,黄河                          ,下河沿                        ,1229.54,737,-
2021/1/4,黄河                          ,石嘴山                        ,1086.57,731,-
2021/1/4,黄河                          ,巴彦高勒                      ,1052.42,758,-
2021/1/4,黄河                          ,三湖河口                      ,1018,629,-
2021/1/4,黄河                          ,包头                          ,1003.5,700,-
2021/1/4,黄河                          ,头道拐                        ,988.6,656,-
2021/1/4,黄河                          ,万家寨蓄水量,967.48,(2.66)亿,-
2021/1/4,黄河                          ,万家寨上出库,-,1050,-
2021/1/4,黄河                          ,万家寨下                      ,900,1050,-
2021/1/4,黄河                          ,府谷                          ,807.87,731,-
2021/1/4,黄河                          ,吴堡                          ,636.07,545,*30.3
2021/1/4,黄河                          ,龙门                          ,377.28,415,*87.1
2021/1/4,汾河                          ,河津                          ,370.64,19.9,*0.529
2021/1/4,北洛河                        ,状头                          ,360.7,11.1,-
2021/1/4,泾河                          ,张家山                        ,419.62,2.9,-
2021/1/4,渭河                          ,咸阳                          ,376.57,56.9,-
2021/1/4,渭河                          ,华县(二)                      ,334.19,150,*2.95
2021/1/4,黄河                          ,潼关                          ,325.8,720,*42
2021/1/4,黄河                          ,史家滩蓄水量,316.94,(4.88)亿,-
2021/1/4,黄河                          ,三门峡                        ,274.05,836,*80.3
2021/1/4,黄河                          ,小浪底上蓄水量,263.07,(65.1)亿,-
2021/1/4,黄河                          ,小浪底                        ,133.84,413,*25.9
2021/1/4,伊河                          ,东湾                          ,-,-,-
2021/1/4,伊河                          ,陆浑坝上蓄水量,314.2,(4.68)亿,-
2021/1/4,伊河                          ,陆浑坝上出库,-,-,-
2021/1/4,伊河                          ,龙门镇                        ,147.38,9.47,-
2021/1/4,洛河                          ,卢氏                          ,-,-,-
2021/1/4,洛河                          ,故县水库蓄水量,526.82,(5.01)亿,-
2021/1/4,洛河                          ,故县水库出库,-,-,-
2021/1/4,洛河                          ,长水（二）                    ,378,4.65,-
2021/1/4,洛河                          ,白马寺                        ,113.29,23.6,-
2021/1/4,伊洛河                        ,黑石关                        ,105.12,60.5,-
2021/1/4,丹河                          ,山路坪                        ,-,-,-
2021/1/4,沁河                          ,五龙口                        ,-,-,-
