日期,河名,站名,水位,流量,含沙量
2005/1/1,黄河                          ,唐乃亥                        ,170.58,150,-
2005/1/1,黄河                          ,龙羊峡入库,-,-,-
2005/1/1,黄河                          ,龙羊峡蓄水量,-,-,-
2005/1/1,黄河                          ,龙羊峡出库,-,-,-
2005/1/1,黄河                          ,刘家峡入库,-,-,-
2005/1/1,黄河                          ,刘家峡蓄水量,-,-,-
2005/1/1,黄河                          ,刘家峡出库,-,-,-
2005/1/1,黄河                          ,兰州                          ,10.64,408,-
2005/1/1,黄河                          ,下河沿                        ,29.4,609,-
2005/1/1,黄河                          ,石嘴山                        ,85.48,626,-
2005/1/1,黄河                          ,巴彦高勒                      ,53.07,322,-
2005/1/1,黄河                          ,三湖河口                      ,18.66,300,-
2005/1/1,黄河                          ,包头                          ,-,-,-
2005/1/1,黄河                          ,头道拐                        ,86.87,140,-
2005/1/1,黄河                          ,万家寨蓄水量,-,-,-
2005/1/1,黄河                          ,万家寨上出库,-,13.9,-
2005/1/1,黄河                          ,万家寨下                      ,94.46,13.9,-
2005/1/1,黄河                          ,府谷                          ,8.89,180,-
2005/1/1,黄河                          ,吴堡                          ,36.23,235,*22.6
2005/1/1,黄河                          ,龙门                          ,82.24,262,*42.6
2005/1/1,汾河                          ,河津                          ,71.06,18,*0.661
2005/1/1,北洛河                        ,状头                          ,61.58,10.9,-
2005/1/1,泾河                          ,张家山                        ,420.34,1.82,-
2005/1/1,渭河                          ,咸阳                          ,81.93,27.2,-
2005/1/1,渭河                          ,华县(二)                      ,34.67,78,*11.5
2005/1/1,黄河                          ,潼关                          ,26.06,420,*22.4
2005/1/1,黄河                          ,史家滩蓄水量,-,-,-
2005/1/1,黄河                          ,三门峡                        ,72.63,215,*29.1
2005/1/1,黄河                          ,小浪底上蓄水量,-,-,-
2005/1/1,黄河                          ,小浪底                        ,32.46,219,*77.6
2005/1/1,伊河                          ,东湾                          ,-,-,-
2005/1/1,伊河                          ,陆浑坝上蓄水量,-,-,-
2005/1/1,伊河                          ,陆浑坝上出库,-,-,-
2005/1/1,伊河                          ,龙门镇                        ,47.56,31,-
2005/1/1,洛河                          ,卢氏                          ,-,-,-
2005/1/1,洛河                          ,故县水库蓄水量,-,-,-
2005/1/1,洛河                          ,故县水库出库,-,-,-
2005/1/1,洛河                          ,长水（二）                    ,378.24,2.33,-
2005/1/1,洛河                          ,白马寺                        ,114.81,28.6,-
2005/1/1,伊洛河                        ,黑石关                        ,6.05,66.5,-
2005/1/1,丹河                          ,山路坪                        ,-,-,-
2005/1/1,沁河                          ,五龙口                        ,-,-,-
2005/1/1,沁河                          ,武陟                          ,1.72,11.4,-
2005/1/1,黄河                          ,花园口                        ,89.89,445,-
2005/1/1,黄河                          ,夹河滩                        ,73.59,445,-
2005/1/1,黄河                          ,高村                          ,59.48,440,-
2005/1/1,黄河                          ,孙口                          ,44.84,440,-
2005/1/1,大汶河                        ,戴村坝,-,-,-
2005/1/1,东平湖                        ,东平湖老湖蓄水量,-,-,-
2005/1/1,大汶河                        ,出湖闸,-,-,-
2005/1/1,黄河                          ,艾山                          ,37.26,230,-
2005/1/1,黄河                          ,泺口                          ,26.2,325,-
2005/1/1,黄河                          ,利津                          ,10,232,-
2005/1/2,黄河                          ,唐乃亥                        ,170.65,168,-
2005/1/2,黄河                          ,龙羊峡入库,-,-,-
2005/1/2,黄河                          ,龙羊峡蓄水量,-,-,-
2005/1/2,黄河                          ,龙羊峡出库,-,-,-
2005/1/2,黄河                          ,刘家峡入库,-,-,-
2005/1/2,黄河                          ,刘家峡蓄水量,-,-,-
2005/1/2,黄河                          ,刘家峡出库,-,-,-
2005/1/2,黄河                          ,兰州                          ,10.8,476,-
2005/1/2,黄河                          ,下河沿                        ,29.37,595,-
2005/1/2,黄河                          ,石嘴山                        ,85.5,640,-
2005/1/2,黄河                          ,巴彦高勒                      ,53.2,180,-
2005/1/2,黄河                          ,三湖河口                      ,18.56,285,-
2005/1/2,黄河                          ,包头                          ,-,-,-
2005/1/2,黄河                          ,头道拐                        ,86.93,148,-
2005/1/2,黄河                          ,万家寨蓄水量,-,-,-
2005/1/2,黄河                          ,万家寨上出库,-,12.6,-
2005/1/2,黄河                          ,万家寨下                      ,94.44,12.6,-
2005/1/2,黄河                          ,府谷                          ,8.81,166,-
2005/1/2,黄河                          ,吴堡                          ,36.25,214,*22.6
2005/1/2,黄河                          ,龙门                          ,81.92,208,*42.6
2005/1/2,汾河                          ,河津                          ,71.1,10.8,*0.661
2005/1/2,北洛河                        ,状头                          ,61.58,10.9,-
2005/1/2,泾河                          ,张家山                        ,420.45,4.66,-
2005/1/2,渭河                          ,咸阳                          ,81.98,30.5,-
2005/1/2,渭河                          ,华县(二)                      ,34.66,76,*11.5
2005/1/2,黄河                          ,潼关                          ,25.83,280,*22.4
2005/1/2,黄河                          ,史家滩蓄水量,-,-,-
2005/1/2,黄河                          ,三门峡                        ,72.28,149,*29.1
2005/1/2,黄河                          ,小浪底上蓄水量,-,-,-
2005/1/2,黄河                          ,小浪底                        ,32.48,226,*77.6
2005/1/2,伊河                          ,东湾                          ,-,-,-
2005/1/2,伊河                          ,陆浑坝上蓄水量,-,-,-
2005/1/2,伊河                          ,陆浑坝上出库,-,-,-
2005/1/2,伊河                          ,龙门镇                        ,47.56,31,-
2005/1/2,洛河                          ,卢氏                          ,-,-,-
2005/1/2,洛河                          ,故县水库蓄水量,-,-,-
2005/1/2,洛河                          ,故县水库出库,-,-,-
2005/1/2,洛河                          ,长水（二）                    ,378.31,4.1,-
2005/1/2,洛河                          ,白马寺                        ,114.87,33,-
2005/1/2,伊洛河                        ,黑石关                        ,6.06,67.4,-
2005/1/2,丹河                          ,山路坪                        ,-,-,-
2005/1/2,沁河                          ,五龙口                        ,-,-,-
2005/1/2,沁河                          ,武陟                          ,2.09,7.3,-
2005/1/2,黄河                          ,花园口                        ,89.85,423,-
2005/1/2,黄河                          ,夹河滩                        ,73.57,430,-
2005/1/2,黄河                          ,高村                          ,59.5,414,-
2005/1/2,黄河                          ,孙口                          ,44.81,425,-
2005/1/2,大汶河                        ,戴村坝,-,-,-
2005/1/2,东平湖                        ,东平湖老湖蓄水量,-,-,-
2005/1/2,大汶河                        ,出湖闸,-,-,-
2005/1/2,黄河                          ,艾山                          ,37.42,320,-
2005/1/2,黄河                          ,泺口                          ,26.29,348,-
2005/1/2,黄河                          ,利津                          ,9.98,232,-
2005/1/3,黄河                          ,唐乃亥                        ,170.7,182,-
2005/1/3,黄河                          ,龙羊峡入库,-,-,-
2005/1/3,黄河                          ,龙羊峡蓄水量,-,-,-
2005/1/3,黄河                          ,龙羊峡出库,-,-,-
2005/1/3,黄河                          ,刘家峡入库,-,-,-
2005/1/3,黄河                          ,刘家峡蓄水量,-,-,-
2005/1/3,黄河                          ,刘家峡出库,-,-,-
2005/1/3,黄河                          ,兰州                          ,10.75,453,-
2005/1/3,黄河                          ,下河沿                        ,29.3,560,-
2005/1/3,黄河                          ,石嘴山                        ,85.39,565,-
2005/1/3,黄河                          ,巴彦高勒                      ,53.23,185,-
2005/1/3,黄河                          ,三湖河口                      ,18.45,240,-
2005/1/3,黄河                          ,包头                          ,-,-,-
2005/1/3,黄河                          ,头道拐                        ,86.95,150,-
2005/1/3,黄河                          ,万家寨蓄水量,-,-,-
2005/1/3,黄河                          ,万家寨上出库,-,13.9,-
2005/1/3,黄河                          ,万家寨下                      ,94.46,13.9,-
2005/1/3,黄河                          ,府谷                          ,8.76,160,-
2005/1/3,黄河                          ,吴堡                          ,36.25,213,*22.6
2005/1/3,黄河                          ,龙门                          ,81.71,155,*42.6
2005/1/3,汾河                          ,河津                          ,71.06,10.6,*0.661
2005/1/3,北洛河                        ,状头                          ,61.52,7.74,-
2005/1/3,泾河                          ,张家山                        ,420.34,1.82,-
2005/1/3,渭河                          ,咸阳                          ,82,31.7,-
2005/1/3,渭河                          ,华县(二)                      ,34.69,81,*11.5
2005/1/3,黄河                          ,潼关                          ,25.79,180,*22.4
