日期,河名,站名,水位,流量,含沙量
2015/1/1,黄河                          ,唐乃亥                        ,2670.61,250,-
2015/1/1,黄河                          ,龙羊峡入库,-,226,-
2015/1/1,黄河                          ,龙羊峡蓄水量,2586.94,(199)亿,-
2015/1/1,黄河                          ,龙羊峡出库,-,487,-
2015/1/1,黄河                          ,刘家峡入库,-,539,-
2015/1/1,黄河                          ,刘家峡蓄水量,1726.52,(29.9)亿,-
2015/1/1,黄河                          ,刘家峡出库,-,525,-
2015/1/1,黄河                          ,兰州                          ,1510.71,519,-
2015/1/1,黄河                          ,下河沿                        ,1229.39,625,-
2015/1/1,黄河                          ,石嘴山                        ,1085.73,732,-
2015/1/1,黄河                          ,巴彦高勒                      ,1052.63,560,-
2015/1/1,黄河                          ,三湖河口                      ,1018.61,570,-
2015/1/1,黄河                          ,包头                          ,1003.42,485,-
2015/1/1,黄河                          ,头道拐                        ,987.73,379,-
2015/1/1,黄河                          ,万家寨蓄水量,975.74,(3.39)亿,-
2015/1/1,黄河                          ,万家寨上出库,-,111,-
2015/1/1,黄河                          ,万家寨下                      ,898.02,111,-
2015/1/1,黄河                          ,府谷                          ,805.48,125,-
2015/1/1,黄河                          ,吴堡                          ,635.2,170,*22.6
2015/1/1,黄河                          ,龙门                          ,379.48,279,*42.6
2015/1/1,汾河                          ,河津                          ,371.21,27.6,*0.661
2015/1/1,北洛河                        ,状头                          ,361.24,0.276,-
2015/1/1,泾河                          ,张家山                        ,420.3,1.73,-
2015/1/1,渭河                          ,咸阳                          ,380.32,26,-
2015/1/1,渭河                          ,华县(二)                      ,333.84,72.5,*11.5
2015/1/1,黄河                          ,潼关                          ,325.32,525,*22.4
2015/1/1,黄河                          ,史家滩蓄水量,317.98,(4.53)亿,-
2015/1/1,黄河                          ,三门峡                        ,273.79,665,*29.1
2015/1/1,黄河                          ,小浪底上蓄水量,267.8,(78.3)亿,-
2015/1/1,黄河                          ,小浪底                        ,134,551,*77.6
2015/1/1,伊河                          ,东湾                          ,-,-,-
2015/1/1,伊河                          ,陆浑坝上蓄水量,313.59,(4.46)亿,-
2015/1/1,伊河                          ,陆浑坝上出库,-,-,-
2015/1/1,伊河                          ,龙门镇                        ,146.97,1.83,-
2015/1/1,洛河                          ,卢氏                          ,-,-,-
2015/1/1,洛河                          ,故县水库蓄水量,528.78,(5.58)亿,-
2015/1/1,洛河                          ,故县水库出库,-,-,-
2015/1/1,洛河                          ,长水（二）                    ,377.81,0.828,-
2015/1/1,洛河                          ,白马寺                        ,113.2,20.4,-
2015/1/1,伊洛河                        ,黑石关                        ,107.68,12.4,-
2015/1/1,丹河                          ,山路坪                        ,-,-,-
2015/1/1,沁河                          ,五龙口                        ,-,-,-
2015/1/1,沁河                          ,武陟                          ,98.75,6.2,-
2015/1/1,黄河                          ,花园口                        ,88.23,512,*8.34
2015/1/1,黄河                          ,夹河滩                        ,71.6,575,*8.47
2015/1/1,黄河                          ,高村                          ,58.13,570,*7.02
2015/1/1,黄河                          ,孙口                          ,42.99,410,*15
2015/1/1,大汶河                        ,戴村坝,-,-,-
2015/1/1,东平湖                        ,东平湖老湖蓄水量,40.79,(2.34)亿,-
2015/1/1,大汶河                        ,出湖闸,-,-,-
2015/1/1,黄河                          ,艾山                          ,36.34,395,*14.3
2015/1/1,黄河                          ,泺口                          ,25.03,425,*19.6
2015/1/1,黄河                          ,利津                          ,8.9,409,*10.5
2015/1/2,黄河                          ,唐乃亥                        ,2670.63,255,-
2015/1/2,黄河                          ,龙羊峡入库,-,210,-
2015/1/2,黄河                          ,龙羊峡蓄水量,2586.88,(199)亿,-
2015/1/2,黄河                          ,龙羊峡出库,-,439,-
2015/1/2,黄河                          ,刘家峡入库,-,604,-
2015/1/2,黄河                          ,刘家峡蓄水量,1726.69,(30.1)亿,-
2015/1/2,黄河                          ,刘家峡出库,-,508,-
2015/1/2,黄河                          ,兰州                          ,1510.49,414,-
