日期,河名,站名,水位,流量,含沙量
2009/1/1,黄河                          ,唐乃亥                        ,2670.63,225,-
2009/1/1,黄河                          ,龙羊峡入库,-,208,-
2009/1/1,黄河                          ,龙羊峡蓄水量,2580.05,(176)亿,-
2009/1/1,黄河                          ,龙羊峡出库,-,399,-
2009/1/1,黄河                          ,刘家峡入库,-,881,-
2009/1/1,黄河                          ,刘家峡蓄水量,1726.81,(30.2)亿,-
2009/1/1,黄河                          ,刘家峡出库,-,448,-
2009/1/1,黄河                          ,兰州                          ,1510.53,360,-
2009/1/1,黄河                          ,下河沿                        ,1229.18,503,-
2009/1/1,黄河                          ,石嘴山                        ,1085.58,570,-
2009/1/1,黄河                          ,巴彦高勒                      ,1052.77,410,-
2009/1/1,黄河                          ,三湖河口                      ,1018.41,410,-
2009/1/1,黄河                          ,包头                          ,-,-,-
2009/1/1,黄河                          ,头道拐                        ,987.72,253,-
2009/1/1,黄河                          ,万家寨蓄水量,970.12,(3.11)亿,-
2009/1/1,黄河                          ,万家寨上出库,-,360,-
2009/1/1,黄河                          ,万家寨下                      ,896.14,360,-
2009/1/1,黄河                          ,府谷                          ,808.22,215,-
2009/1/1,黄河                          ,吴堡                          ,636.51,285,*22.6
2009/1/1,黄河                          ,龙门                          ,382.04,182,*42.6
2009/1/1,汾河                          ,河津                          ,370.38,5.9,*0.661
2009/1/1,北洛河                        ,状头                          ,361.35,1.42,-
2009/1/1,泾河                          ,张家山                        ,420.3,1.24,-
2009/1/1,渭河                          ,咸阳                          ,381,11.1,-
2009/1/1,渭河                          ,华县(二)                      ,334.85,49.6,*11.5
2009/1/1,黄河                          ,潼关                          ,325.26,158,*22.4
2009/1/1,黄河                          ,史家滩蓄水量,316.9,(3.61)亿,-
2009/1/1,黄河                          ,三门峡                        ,273.64,589,*29.1
2009/1/1,黄河                          ,小浪底上蓄水量,243.23,(36.9)亿,-
2009/1/1,黄河                          ,小浪底                        ,133.02,457,*77.6
2009/1/1,伊河                          ,东湾                          ,-,-,-
2009/1/1,伊河                          ,陆浑坝上蓄水量,306.98,(2.70)亿,-
2009/1/1,伊河                          ,陆浑坝上出库,-,-,-
2009/1/1,伊河                          ,龙门镇                        ,147.22,0.303,-
2009/1/1,洛河                          ,卢氏                          ,-,-,-
2009/1/1,洛河                          ,故县水库蓄水量,524.35,(4.87)亿,-
2009/1/1,洛河                          ,故县水库出库,-,-,-
2009/1/1,洛河                          ,长水（二）                    ,377.95,0.5,-
2009/1/1,洛河                          ,白马寺                        ,114.03,5.58,-
2009/1/1,伊洛河                        ,黑石关                        ,102.86,12.8,-
2009/1/1,丹河                          ,山路坪                        ,-,-,-
2009/1/1,沁河                          ,五龙口                        ,-,-,-
2009/1/1,沁河                          ,武陟                          ,99.91,1.6,-
2009/1/1,黄河                          ,花园口                        ,89.12,545,-
2009/1/1,黄河                          ,夹河滩                        ,72.56,485,-
2009/1/1,黄河                          ,高村                          ,58.4,380,-
2009/1/1,黄河                          ,孙口                          ,43.77,356,-
2009/1/1,大汶河                        ,戴村坝,-,-,-
2009/1/1,东平湖                        ,东平湖老湖蓄水量,41.96,(3.75)亿,-
2009/1/1,大汶河                        ,出湖闸,-,-,-
2009/1/1,黄河                          ,艾山                          ,36.75,262,-
2009/1/1,黄河                          ,泺口                          ,25.41,240,-
2009/1/1,黄河                          ,利津                          ,9.78,305,-
2009/1/2,黄河                          ,唐乃亥                        ,2670.64,229,-
2009/1/2,黄河                          ,龙羊峡入库,-,186,-
2009/1/2,黄河                          ,龙羊峡蓄水量,2579.91,(176)亿,-
2009/1/2,黄河                          ,龙羊峡出库,-,710,-
2009/1/2,黄河                          ,刘家峡入库,-,229,-
2009/1/2,黄河                          ,刘家峡蓄水量,1726.65,(30)亿,-
2009/1/2,黄河                          ,刘家峡出库,-,453,-
2009/1/2,黄河                          ,兰州                          ,1510.8,474,-
2009/1/2,黄河                          ,下河沿                        ,1229.33,569,-
2009/1/2,黄河                          ,石嘴山                        ,1085.49,560,-
2009/1/2,黄河                          ,巴彦高勒                      ,1052.78,480,-
2009/1/2,黄河                          ,三湖河口                      ,1018.39,342,-
2009/1/2,黄河                          ,包头                          ,-,-,-
2009/1/2,黄河                          ,头道拐                        ,987.74,255,-
2009/1/2,黄河                          ,万家寨蓄水量,970.22,(3.13)亿,-
2009/1/2,黄河                          ,万家寨上出库,-,291,-
2009/1/2,黄河                          ,万家寨下                      ,895.95,291,-
2009/1/2,黄河                          ,府谷                          ,808.27,225,-
2009/1/2,黄河                          ,吴堡                          ,636.89,525,*22.6
2009/1/2,黄河                          ,龙门                          ,382.22,267,*42.6
2009/1/2,汾河                          ,河津                          ,370.4,6.6,*0.661
2009/1/2,北洛河                        ,状头                          ,361.35,1.42,-
2009/1/2,泾河                          ,张家山                        ,420.29,1.24,-
2009/1/2,渭河                          ,咸阳                          ,381.02,13.2,-
2009/1/2,渭河                          ,华县(二)                      ,334.85,49.6,*11.5
2009/1/2,黄河                          ,潼关                          ,325.26,158,*22.4
2009/1/2,黄河                          ,史家滩蓄水量,316.98,(3.67)亿,-
2009/1/2,黄河                          ,三门峡                        ,271.27,41.7,*29.1
2009/1/2,黄河                          ,小浪底上蓄水量,243.07,(36.7)亿,-
2009/1/2,黄河                          ,小浪底                        ,132.93,462,*77.6
2009/1/2,伊河                          ,东湾                          ,-,-,-
2009/1/2,伊河                          ,陆浑坝上蓄水量,306.88,(2.67)亿,-
2009/1/2,伊河                          ,陆浑坝上出库,-,-,-
2009/1/2,伊河                          ,龙门镇                        ,147.22,0.303,-
2009/1/2,洛河                          ,卢氏                          ,-,-,-
2009/1/2,洛河                          ,故县水库蓄水量,524.39,(4.88)亿,-
2009/1/2,洛河                          ,故县水库出库,-,-,-
2009/1/2,洛河                          ,长水（二）                    ,377.95,0.5,-
2009/1/2,洛河                          ,白马寺                        ,114.02,4.67,-
2009/1/2,伊洛河                        ,黑石关                        ,102.84,12,-
2009/1/2,丹河                          ,山路坪                        ,-,-,-
2009/1/2,沁河                          ,五龙口                        ,-,-,-
2009/1/2,沁河                          ,武陟                          ,99.92,1.7,-
2009/1/2,黄河                          ,花园口                        ,88.81,375,-
2009/1/2,黄河                          ,夹河滩                        ,72.56,485,-
2009/1/2,黄河                          ,高村                          ,58.39,403,-
2009/1/2,黄河                          ,孙口                          ,43.83,378,-
2009/1/2,大汶河                        ,戴村坝,-,-,-
2009/1/2,东平湖                        ,东平湖老湖蓄水量,41.96,(3.75)亿,-
2009/1/2,大汶河                        ,出湖闸,-,-,-
2009/1/2,黄河                          ,艾山                          ,36.76,270,-
2009/1/2,黄河                          ,泺口                          ,25.28,250,-
2009/1/2,黄河                          ,利津                          ,9.63,246,-
2009/1/3,黄河                          ,唐乃亥                        ,2670.66,236,-
2009/1/3,黄河                          ,龙羊峡入库,-,246,-
2009/1/3,黄河                          ,龙羊峡蓄水量,2579.75,(175)亿,-
2009/1/3,黄河                          ,龙羊峡出库,-,838,-
2009/1/3,黄河                          ,刘家峡入库,-,127,-
2009/1/3,黄河                          ,刘家峡蓄水量,1726.4,(29.7)亿,-
2009/1/3,黄河                          ,刘家峡出库,-,474,-
2009/1/3,黄河                          ,兰州                          ,1510.72,437,-
2009/1/3,黄河                          ,下河沿                        ,1229.1,469,-
2009/1/3,黄河                          ,石嘴山                        ,1085.5,560,-
2009/1/3,黄河                          ,巴彦高勒                      ,1052.77,480,-
2009/1/3,黄河                          ,三湖河口                      ,1018.42,346,-
2009/1/3,黄河                          ,包头                          ,-,-,-
2009/1/3,黄河                          ,头道拐                        ,987.75,256,-
2009/1/3,黄河                          ,万家寨蓄水量,969.95,(3.07)亿,-
2009/1/3,黄河                          ,万家寨上出库,-,234,-
2009/1/3,黄河                          ,万家寨下                      ,895.77,234,-
2009/1/3,黄河                          ,府谷                          ,808.35,241,-
2009/1/3,黄河                          ,吴堡                          ,636.87,510,*22.6
2009/1/3,黄河                          ,龙门                          ,382.35,334,*42.6
2009/1/3,汾河                          ,河津                          ,370.45,7.3,*0.661
2009/1/3,北洛河                        ,状头                          ,361.37,1.78,-
2009/1/3,泾河                          ,张家山                        ,420.29,1.24,-
2009/1/3,渭河                          ,咸阳                          ,381.05,17.1,-
2009/1/3,渭河                          ,华县(二)                      ,334.83,48.9,*11.5
2009/1/3,黄河                          ,潼关                          ,325.25,155,*22.4
2009/1/3,黄河                          ,史家滩蓄水量,317.1,(3.75)亿,-
2009/1/3,黄河                          ,三门峡                        ,271.27,41.7,*29.1
2009/1/3,黄河                          ,小浪底上蓄水量,242.98,(36.5)亿,-
2009/1/3,黄河                          ,小浪底                        ,132.8,353,*77.6
2009/1/3,伊河                          ,东湾                          ,-,-,-
2009/1/3,伊河                          ,陆浑坝上蓄水量,306.78,(2.65)亿,-
2009/1/3,伊河                          ,陆浑坝上出库,-,5,-
2009/1/3,伊河                          ,龙门镇                        ,147.22,0.303,-
2009/1/3,洛河                          ,卢氏                          ,-,-,-
2009/1/3,洛河                          ,故县水库蓄水量,524.43,(4.89)亿,-
2009/1/3,洛河                          ,故县水库出库,-,-,-
2009/1/3,洛河                          ,长水（二）                    ,377.95,0.5,-
2009/1/3,洛河                          ,白马寺                        ,114.07,7.35,-
2009/1/3,伊洛河                        ,黑石关                        ,102.84,12,-
2009/1/3,丹河                          ,山路坪                        ,-,-,-
2009/1/3,沁河                          ,五龙口                        ,-,-,-
2009/1/3,沁河                          ,武陟                          ,99.92,1.7,-
2009/1/3,黄河                          ,花园口                        ,88.82,365,-
2009/1/3,黄河                          ,夹河滩                        ,72.45,435,-
2009/1/3,黄河                          ,高村                          ,58.31,375,-
2009/1/3,黄河                          ,孙口                          ,43.86,422,-
2009/1/3,大汶河                        ,戴村坝,-,-,-
2009/1/3,东平湖                        ,东平湖老湖蓄水量,41.96,(3.75)亿,-
2009/1/3,大汶河                        ,出湖闸,-,-,-
2009/1/3,黄河                          ,艾山                          ,36.87,450,-
2009/1/3,黄河                          ,泺口                          ,25.4,285,-
2009/1/3,黄河                          ,利津                          ,9.45,222,-
2009/1/4,黄河                          ,唐乃亥                        ,2670.58,208,-
2009/1/4,黄河                          ,龙羊峡入库,-,264,-
2009/1/4,黄河                          ,龙羊峡蓄水量,2579.63,(175)亿,-
2009/1/4,黄河                          ,龙羊峡出库,-,709,-
2009/1/4,黄河                          ,刘家峡入库,-,277,-
2009/1/4,黄河                          ,刘家峡蓄水量,1726.21,(29.5)亿,-
2009/1/4,黄河                          ,刘家峡出库,-,471,-
2009/1/4,黄河                          ,兰州                          ,1510.6,388,-
2009/1/4,黄河                          ,下河沿                        ,1229.06,452,-
2009/1/4,黄河                          ,石嘴山                        ,1085.69,540,-
2009/1/4,黄河                          ,巴彦高勒                      ,1052.77,480,-
2009/1/4,黄河                          ,三湖河口                      ,1018.44,350,-
2009/1/4,黄河                          ,包头                          ,-,-,-
