日期,河名,站名,水位,流量,含沙量
2020/1/1,黄河                          ,唐乃亥                        ,2670.77,303,-
2020/1/1,黄河                          ,龙羊峡入库,-,281,-
2020/1/1,黄河                          ,龙羊峡蓄水量,2598.18,(235)亿,-
2020/1/1,黄河                          ,龙羊峡出库,-,613,-
2020/1/1,黄河                          ,刘家峡入库,-,606,-
2020/1/1,黄河                          ,刘家峡蓄水量,1726.15,(28.7)亿,-
2020/1/1,黄河                          ,刘家峡出库,-,580,-
2020/1/1,黄河                          ,兰州                          ,1510.54,606,-
2020/1/1,黄河                          ,下河沿                        ,1229.53,715,-
2020/1/1,黄河                          ,石嘴山                        ,1085.6,755,-
2020/1/1,黄河                          ,巴彦高勒                      ,1050.36,636,-
2020/1/1,黄河                          ,三湖河口                      ,1018.21,466,-
2020/1/1,黄河                          ,包头                          ,1003.01,427,-
2020/1/1,黄河                          ,头道拐                        ,988.5,370,-
2020/1/1,黄河                          ,万家寨蓄水量,966.28,(2.74)亿,-
2020/1/1,黄河                          ,万家寨上出库,-,551,-
2020/1/1,黄河                          ,万家寨下                      ,899,551,-
2020/1/1,黄河                          ,府谷                          ,806.95,288,-
2020/1/1,黄河                          ,吴堡                          ,635.57,295,*30.3
2020/1/1,黄河                          ,龙门                          ,377.32,300,*87.1
2020/1/1,汾河                          ,河津                          ,370.3,8.82,*0.529
2020/1/1,北洛河                        ,状头                          ,361.52,5.86,-
2020/1/1,泾河                          ,张家山                        ,420.4,9.27,-
2020/1/1,渭河                          ,咸阳                          ,376.64,47.8,-
2020/1/1,渭河                          ,华县(二)                      ,334.33,126,*2.95
2020/1/1,黄河                          ,潼关                          ,325.5,585,*42
2020/1/1,黄河                          ,史家滩蓄水量,317.43,(5.70)亿,-
2020/1/1,黄河                          ,三门峡                        ,274.05,805,*80.3
2020/1/1,黄河                          ,小浪底上蓄水量,259.92,(58)亿,-
2020/1/1,黄河                          ,小浪底                        ,133.54,494,*25.9
2020/1/1,伊河                          ,东湾                          ,-,-,-
2020/1/1,伊河                          ,陆浑坝上蓄水量,310.06,(3.42)亿,-
2020/1/1,伊河                          ,陆浑坝上出库,-,-,-
2020/1/1,伊河                          ,龙门镇                        ,147.29,4.95,-
2020/1/1,洛河                          ,卢氏                          ,-,-,-
2020/1/1,洛河                          ,故县水库蓄水量,526.93,(5.02)亿,-
2020/1/1,洛河                          ,故县水库出库,-,-,-
