日期,河名,站名,水位,流量,含沙量
2002/1/1,黄河                          ,唐乃亥                        ,170.08,116,-
2002/1/1,黄河                          ,龙羊峡入库,-,-,-
2002/1/1,黄河                          ,龙羊峡蓄水量,-,-,-
2002/1/1,黄河                          ,龙羊峡出库,-,-,-
2002/1/1,黄河                          ,刘家峡入库,-,-,-
2002/1/1,黄河                          ,刘家峡蓄水量,-,-,-
2002/1/1,黄河                          ,刘家峡出库,-,-,-
2002/1/1,黄河                          ,兰州                          ,10.45,333,-
2002/1/1,黄河                          ,下河沿                        ,29.23,526,-
2002/1/1,黄河                          ,石嘴山                        ,86,410,-
2002/1/1,黄河                          ,巴彦高勒                      ,52.54,310,-
2002/1/1,黄河                          ,三湖河口                      ,17.97,260,-
2002/1/1,黄河                          ,包头                          ,-,-,-
2002/1/1,黄河                          ,头道拐                        ,86.58,185,-
2002/1/1,黄河                          ,万家寨蓄水量,-,-,-
2002/1/1,黄河                          ,万家寨上出库,-,18,-
2002/1/1,黄河                          ,万家寨下                      ,94.47,18,-
2002/1/1,黄河                          ,府谷                          ,8.54,98,-
2002/1/1,黄河                          ,吴堡                          ,36.18,130,*30.3
2002/1/1,黄河                          ,龙门                          ,82.09,210,*87.1
2002/1/1,汾河                          ,河津                          ,70.63,5.45,*0.529
2002/1/1,北洛河                        ,状头                          ,61.35,2.1,-
2002/1/1,泾河                          ,张家山                        ,420.1,1.64,-
2002/1/1,渭河                          ,咸阳                          ,81.69,9.7,-
2002/1/1,渭河                          ,华县(二)                      ,35.08,22,*2.95
2002/1/1,黄河                          ,潼关                          ,25.78,134,*42
2002/1/1,黄河                          ,史家滩蓄水量,-,-,-
2002/1/1,黄河                          ,三门峡                        ,70.9,18.6,*80.3
2002/1/1,黄河                          ,小浪底上蓄水量,-,-,-
2002/1/1,黄河                          ,小浪底                        ,31.87,60,*25.9
2002/1/1,伊河                          ,东湾                          ,-,-,-
2002/1/1,伊河                          ,陆浑坝上蓄水量,-,-,-
2002/1/1,伊河                          ,陆浑坝上出库,-,-,-
2002/1/1,伊河                          ,龙门镇                        ,48.18,7.5,-
2002/1/1,洛河                          ,卢氏                          ,-,-,-
2002/1/1,洛河                          ,故县水库蓄水量,-,-,-
2002/1/1,洛河                          ,故县水库出库,-,-,-
2002/1/1,洛河                          ,长水（二）                    ,378.07,1.83,-
2002/1/1,洛河                          ,白马寺                        ,115.47,12.4,-
2002/1/1,伊洛河                        ,黑石关                        ,5.9,28.5,-
2002/1/1,丹河                          ,山路坪                        ,-,-,-
2002/1/1,沁河                          ,五龙口                        ,-,-,-
