日期,河名,站名,水位,流量,含沙量
2013/1/1,黄河                          ,唐乃亥                        ,2670.47,155,-
2013/1/1,黄河                          ,龙羊峡入库,-,123,-
2013/1/1,黄河                          ,龙羊峡蓄水量,2592.79,(220)亿,-
2013/1/1,黄河                          ,龙羊峡出库,-,550,-
2013/1/1,黄河                          ,刘家峡入库,-,510,-
2013/1/1,黄河                          ,刘家峡蓄水量,1722.97,(26)亿,-
2013/1/1,黄河                          ,刘家峡出库,-,570,-
2013/1/1,黄河                          ,兰州                          ,1510.5,414,-
2013/1/1,黄河                          ,下河沿                        ,1229.46,649,-
2013/1/1,黄河                          ,石嘴山                        ,1086.88,580,-
2013/1/1,黄河                          ,巴彦高勒                      ,1052.77,479,-
2013/1/1,黄河                          ,三湖河口                      ,1018,362,-
2013/1/1,黄河                          ,包头                          ,-,-,-
2013/1/1,黄河                          ,头道拐                        ,988.1,545,-
2013/1/1,黄河                          ,万家寨蓄水量,974.92,(3.23)亿,-
2013/1/1,黄河                          ,万家寨上出库,-,12,-
2013/1/1,黄河                          ,万家寨下                      ,897.11,12,-
2013/1/1,黄河                          ,府谷                          ,807.6,525,-
2013/1/1,黄河                          ,吴堡                          ,635.25,220,*22.6
2013/1/1,黄河                          ,龙门                          ,381.87,511,*42.6
2013/1/1,汾河                          ,河津                          ,370.83,14.7,*0.661
2013/1/1,北洛河                        ,状头                          ,361.57,8.01,-
2013/1/1,泾河                          ,张家山                        ,420.25,1.22,-
2013/1/1,渭河                          ,咸阳                          ,380.61,60.2,-
2013/1/1,渭河                          ,华县(二)                      ,333.75,78,*11.5
2013/1/1,黄河                          ,潼关                          ,325.3,820,*22.4
2013/1/1,黄河                          ,史家滩蓄水量,317.69,(4.95)亿,-
2013/1/1,黄河                          ,三门峡                        ,272.41,174,*29.1
2013/1/1,黄河                          ,小浪底上蓄水量,263.75,(71.9)亿,-
2013/1/1,黄河                          ,小浪底                        ,133.77,688,*77.6
2013/1/1,伊河                          ,东湾                          ,-,-,-
2013/1/1,伊河                          ,陆浑坝上蓄水量,314.42,(4.73)亿,-
2013/1/1,伊河                          ,陆浑坝上出库,-,-,-
2013/1/1,伊河                          ,龙门镇                        ,147.48,8.5,-
2013/1/1,洛河                          ,卢氏                          ,-,-,-
2013/1/1,洛河                          ,故县水库蓄水量,527.4,(5.35)亿,-
2013/1/1,洛河                          ,故县水库出库,-,-,-
2013/1/1,洛河                          ,长水（二）                    ,377.86,0.4,-
2013/1/1,洛河                          ,白马寺                        ,112.71,26.8,-
2013/1/1,伊洛河                        ,黑石关                        ,105.14,43.2,-
2013/1/1,丹河                          ,山路坪                        ,-,-,-
2013/1/1,沁河                          ,五龙口                        ,141.2,5.76,-
