日期,河名,站名,水位,流量,含沙量
2017/1/1,黄河                          ,唐乃亥                        ,2670.64,193,-
2017/1/1,黄河                          ,龙羊峡入库,-,151,-
2017/1/1,黄河                          ,龙羊峡蓄水量,2577.57,(168)亿,-
2017/1/1,黄河                          ,龙羊峡出库,-,370,-
2017/1/1,黄河                          ,刘家峡入库,-,489,-
2017/1/1,黄河                          ,刘家峡蓄水量,1724.3,(27.3)亿,-
2017/1/1,黄河                          ,刘家峡出库,-,355,-
2017/1/1,黄河                          ,兰州                          ,1510.35,383,-
2017/1/1,黄河                          ,下河沿                        ,1229.02,456,-
2017/1/1,黄河                          ,石嘴山                        ,1085.15,499,-
2017/1/1,黄河                          ,巴彦高勒                      ,1050.64,518,-
2017/1/1,黄河                          ,三湖河口                      ,1017.12,353,-
2017/1/1,黄河                          ,包头                          ,1002.82,353,-
2017/1/1,黄河                          ,头道拐                        ,986.61,345,-
2017/1/1,黄河                          ,万家寨蓄水量,969.61,(1.93)亿,-
2017/1/1,黄河                          ,万家寨上出库,-,9,-
2017/1/1,黄河                          ,万家寨下                      ,897.29,9,-
2017/1/1,黄河                          ,府谷                          ,806.77,347,-
2017/1/1,黄河                          ,吴堡                          ,635.82,395,*22.6
2017/1/1,黄河                          ,龙门                          ,378.68,363,*42.6
2017/1/1,汾河                          ,河津                          ,370.61,14.7,*0.661
2017/1/1,北洛河                        ,状头                          ,361.25,0.343,-
2017/1/1,泾河                          ,张家山                        ,420.26,2.02,-
2017/1/1,渭河                          ,咸阳                          ,380.21,22.9,-
2017/1/1,渭河                          ,华县(二)                      ,333.9,49.6,*11.5
2017/1/1,黄河                          ,潼关                          ,325.79,430,*22.4
2017/1/1,黄河                          ,史家滩蓄水量,317.8,(4.57)亿,-
2017/1/1,黄河                          ,三门峡                        ,273.45,503,*29.1
2017/1/1,黄河                          ,小浪底上蓄水量,257.7,(53.7)亿,-
2017/1/1,黄河                          ,小浪底                        ,133.81,297,*77.6
2017/1/1,伊河                          ,东湾                          ,-,-,-
2017/1/1,伊河                          ,陆浑坝上蓄水量,312.41,(4.06)亿,-
2017/1/1,伊河                          ,陆浑坝上出库,-,-,-
2017/1/1,伊河                          ,龙门镇                        ,147.51,10,-
2017/1/1,洛河                          ,卢氏                          ,-,-,-
2017/1/1,洛河                          ,故县水库蓄水量,523.14,(4.70)亿,-
2017/1/1,洛河                          ,故县水库出库,-,-,-
2017/1/1,洛河                          ,长水（二）                    ,377.78,0.772,-
2017/1/1,洛河                          ,白马寺                        ,112.81,24,-
2017/1/1,伊洛河                        ,黑石关                        ,105.94,7.8,-
2017/1/1,丹河                          ,山路坪                        ,-,-,-
2017/1/1,沁河                          ,五龙口                        ,-,-,-
2017/1/1,沁河                          ,武陟                          ,98.83,11.8,-
2017/1/1,黄河                          ,花园口                        ,87.18,202,*8.34
2017/1/1,黄河                          ,夹河滩                        ,70.59,246,*8.47
2017/1/1,黄河                          ,高村                          ,57.1,220,*7.02
2017/1/1,黄河                          ,孙口                          ,42.18,217,*15
