日期,河名,站名,水位,流量,含沙量
2018/1/1,黄河                          ,唐乃亥                        ,2670.66,229,-
2018/1/1,黄河                          ,龙羊峡入库,-,209,-
2018/1/1,黄河                          ,龙羊峡蓄水量,2590.24,(21.1)亿,-
2018/1/1,黄河                          ,龙羊峡出库,-,500,-
2018/1/1,黄河                          ,刘家峡入库,-,487,-
2018/1/1,黄河                          ,刘家峡蓄水量,1726.34,(29.6)亿,-
2018/1/1,黄河                          ,刘家峡出库,-,405,-
2018/1/1,黄河                          ,兰州                          ,1510.43,419,-
2018/1/1,黄河                          ,下河沿                        ,1229.43,643,-
2018/1/1,黄河                          ,石嘴山                        ,1085.29,559,-
2018/1/1,黄河                          ,巴彦高勒                      ,1051.33,471,-
2018/1/1,黄河                          ,三湖河口                      ,1018.32,447,-
2018/1/1,黄河                          ,包头                          ,1003.21,378,-
2018/1/1,黄河                          ,头道拐                        ,987.69,311,-
2018/1/1,黄河                          ,万家寨蓄水量,970.31,(2.14)亿,-
2018/1/1,黄河                          ,万家寨上出库,-,316,-
2018/1/1,黄河                          ,万家寨下                      ,898.58,316,-
2018/1/1,黄河                          ,府谷                          ,806.38,234,-
2018/1/1,黄河                          ,吴堡                          ,635.59,330,*22.6
2018/1/1,黄河                          ,龙门                          ,378.38,350,*42.6
2018/1/1,汾河                          ,河津                          ,371.01,24.9,*0.661
2018/1/1,北洛河                        ,状头                          ,361.28,0.559,-
2018/1/1,泾河                          ,张家山                        ,420.52,16.5,-
2018/1/1,渭河                          ,咸阳                          ,380.24,35.9,-
2018/1/1,渭河                          ,华县(二)                      ,333.63,56.9,*11.5
2018/1/1,黄河                          ,潼关                          ,325.55,460,*22.4
2018/1/1,黄河                          ,史家滩蓄水量,317.76,(3.99)亿,-
2018/1/1,黄河                          ,三门峡                        ,273.32,448,*29.1
2018/1/1,黄河                          ,小浪底上蓄水量,266.96,(73.3)亿,-
2018/1/1,黄河                          ,小浪底                        ,133.84,461,*77.6
2018/1/1,伊河                          ,东湾                          ,-,-,-
2018/1/1,伊河                          ,陆浑坝上蓄水量,317.56,(5.90)亿,-
2018/1/1,伊河                          ,陆浑坝上出库,-,-,-
2018/1/1,伊河                          ,龙门镇                        ,147.26,3.6,-
2018/1/1,洛河                          ,卢氏                          ,-,-,-
2018/1/1,洛河                          ,故县水库蓄水量,526.85,(5.25)亿,-
2018/1/1,洛河                          ,故县水库出库,-,-,-
2018/1/1,洛河                          ,长水（二）                    ,377.77,0.679,-
2018/1/1,洛河                          ,白马寺                        ,112.62,18.3,-
2018/1/1,伊洛河                        ,黑石关                        ,104.47,20.4,-
2018/1/1,丹河                          ,山路坪                        ,-,-,-
2018/1/1,沁河                          ,五龙口                        ,-,-,-
2018/1/1,沁河                          ,武陟                          ,98.38,4.1,-
