日期,河名,站名,水位,流量,含沙量
2014/1/1,黄河                          ,唐乃亥                        ,2670.62,172,-
2014/1/1,黄河                          ,龙羊峡入库,-,177,-
2014/1/1,黄河                          ,龙羊峡蓄水量,2583.99,(189)亿,-
2014/1/1,黄河                          ,龙羊峡出库,-,492,-
2014/1/1,黄河                          ,刘家峡入库,-,680,-
2014/1/1,黄河                          ,刘家峡蓄水量,1723.88,(26.9)亿,-
2014/1/1,黄河                          ,刘家峡出库,-,571,-
2014/1/1,黄河                          ,兰州                          ,1511.21,779,-
2014/1/1,黄河                          ,下河沿                        ,1229.42,627,-
2014/1/1,黄河                          ,石嘴山                        ,1085.52,612,-
2014/1/1,黄河                          ,巴彦高勒                      ,1052.95,350,-
2014/1/1,黄河                          ,三湖河口                      ,1017.76,290,-
2014/1/1,黄河                          ,包头                          ,1003.01,332,-
2014/1/1,黄河                          ,头道拐                        ,987.53,300,-
2014/1/1,黄河                          ,万家寨蓄水量,973.9,(2.87)亿,-
2014/1/1,黄河                          ,万家寨上出库,-,234,-
2014/1/1,黄河                          ,万家寨下                      ,898.33,234,-
2014/1/1,黄河                          ,府谷                          ,805.78,152,-
2014/1/1,黄河                          ,吴堡                          ,635.43,188,*22.6
2014/1/1,黄河                          ,龙门                          ,380.28,305,*42.6
2014/1/1,汾河                          ,河津                          ,371.54,36.7,*0.661
2014/1/1,北洛河                        ,状头                          ,361.63,11.2,-
2014/1/1,泾河                          ,张家山                        ,420.32,1.98,-
2014/1/1,渭河                          ,咸阳                          ,380.57,35.8,-
2014/1/1,渭河                          ,华县(二)                      ,334.29,122,*11.5
2014/1/1,黄河                          ,潼关                          ,325.01,310,*22.4
2014/1/1,黄河                          ,史家滩蓄水量,317.89,(4.75)亿,-
2014/1/1,黄河                          ,三门峡                        ,274.15,863,*29.1
2014/1/1,黄河                          ,小浪底上蓄水量,256.22,(56)亿,-
2014/1/1,黄河                          ,小浪底                        ,134.01,782,*77.6
2014/1/1,伊河                          ,东湾                          ,-,-,-
2014/1/1,伊河                          ,陆浑坝上蓄水量,308.98,(3.11)亿,-
2014/1/1,伊河                          ,陆浑坝上出库,-,-,-
2014/1/1,伊河                          ,龙门镇                        ,147.22,0.66,-
2014/1/1,洛河                          ,卢氏                          ,-,-,-
2014/1/1,洛河                          ,故县水库蓄水量,522.1,(4.55)亿,-
2014/1/1,洛河                          ,故县水库出库,-,-,-
2014/1/1,洛河                          ,长水（二）                    ,377.86,0.4,-
2014/1/1,洛河                          ,白马寺                        ,113.45,5.73,-
2014/1/1,伊洛河                        ,黑石关                        ,108.42,9.2,-
2014/1/1,丹河                          ,山路坪                        ,-,-,-
2014/1/1,沁河                          ,五龙口                        ,-,-,-
2014/1/1,沁河                          ,武陟                          ,98.84,3.48,-
2014/1/1,黄河                          ,花园口                        ,88.27,448,-
2014/1/1,黄河                          ,夹河滩                        ,71.9,445,-
2014/1/1,黄河                          ,高村                          ,58.08,380,-
2014/1/1,黄河                          ,孙口                          ,43.08,418,-
2014/1/1,大汶河                        ,戴村坝,-,-,-
2014/1/1,东平湖                        ,东平湖老湖蓄水量,41.88,(3.64)亿,-
2014/1/1,大汶河                        ,出湖闸,-,-,-
2014/1/1,黄河                          ,艾山                          ,36.16,425,-
2014/1/1,黄河                          ,泺口                          ,24.9,378,-
2014/1/1,黄河                          ,利津                          ,9.01,247,-
2014/1/2,黄河                          ,唐乃亥                        ,2670.65,177,-
2014/1/2,黄河                          ,龙羊峡入库,-,180,-
2014/1/2,黄河                          ,龙羊峡蓄水量,2583.89,(189)亿,-
2014/1/2,黄河                          ,龙羊峡出库,-,590,-
2014/1/2,黄河                          ,刘家峡入库,-,748,-
2014/1/2,黄河                          ,刘家峡蓄水量,1723.93,(27)亿,-
2014/1/2,黄河                          ,刘家峡出库,-,554,-
2014/1/2,黄河                          ,兰州                          ,1510.72,516,-
2014/1/2,黄河                          ,下河沿                        ,1229.44,638,-
2014/1/2,黄河                          ,石嘴山                        ,1085.62,685,-
2014/1/2,黄河                          ,巴彦高勒                      ,1053.09,379,-
2014/1/2,黄河                          ,三湖河口                      ,1017.73,290,-
2014/1/2,黄河                          ,包头                          ,1002.99,269,-
2014/1/2,黄河                          ,头道拐                        ,987.51,300,-
2014/1/2,黄河                          ,万家寨蓄水量,973.99,(2.89)亿,-
2014/1/2,黄河                          ,万家寨上出库,-,327,-
2014/1/2,黄河                          ,万家寨下                      ,898.57,327,-
2014/1/2,黄河                          ,府谷                          ,807.4,585,-
2014/1/2,黄河                          ,吴堡                          ,635.41,183,*22.6
2014/1/2,黄河                          ,龙门                          ,380.2,155,*42.6
2014/1/2,汾河                          ,河津                          ,371.54,36.7,*0.661
2014/1/2,北洛河                        ,状头                          ,360.69,10.8,-
2014/1/2,泾河                          ,张家山                        ,420.32,1.98,-
2014/1/2,渭河                          ,咸阳                          ,380.54,34.3,-
2014/1/2,渭河                          ,华县(二)                      ,334.27,116,*11.5
2014/1/2,黄河                          ,潼关                          ,324.98,295,*22.4
2014/1/2,黄河                          ,史家滩蓄水量,317.92,(4.77)亿,-
2014/1/2,黄河                          ,三门峡                        ,273.39,475,*29.1
2014/1/2,黄河                          ,小浪底上蓄水量,256.24,(56.1)亿,-
2014/1/2,黄河                          ,小浪底                        ,133.54,444,*77.6
2014/1/2,伊河                          ,东湾                          ,-,-,-
2014/1/2,伊河                          ,陆浑坝上蓄水量,308.98,(3.11)亿,-
2014/1/2,伊河                          ,陆浑坝上出库,-,-,-
2014/1/2,伊河                          ,龙门镇                        ,147.22,0.66,-
2014/1/2,洛河                          ,卢氏                          ,-,-,-
2014/1/2,洛河                          ,故县水库蓄水量,522.15,(4.56)亿,-
2014/1/2,洛河                          ,故县水库出库,-,-,-
2014/1/2,洛河                          ,长水（二）                    ,377.86,0.4,-
2014/1/2,洛河                          ,白马寺                        ,113.32,5.68,-
2014/1/2,伊洛河                        ,黑石关                        ,108.49,9.5,-
2014/1/2,丹河                          ,山路坪                        ,-,-,-
2014/1/2,沁河                          ,五龙口                        ,-,-,-
2014/1/2,沁河                          ,武陟                          ,98.84,3.48,-
2014/1/2,黄河                          ,花园口                        ,88.28,450,-
2014/1/2,黄河                          ,夹河滩                        ,71.89,430,-
2014/1/2,黄河                          ,高村                          ,58.06,430,-
2014/1/2,黄河                          ,孙口                          ,42.9,357,-
2014/1/2,大汶河                        ,戴村坝,-,-,-
2014/1/2,东平湖                        ,东平湖老湖蓄水量,41.86,(3.61)亿,-
2014/1/2,大汶河                        ,出湖闸,-,-,-
2014/1/2,黄河                          ,艾山                          ,36.18,440,-
2014/1/2,黄河                          ,泺口                          ,24.93,390,-
2014/1/2,黄河                          ,利津                          ,8.98,233,-
2014/1/3,黄河                          ,唐乃亥                        ,2670.73,191,-
2014/1/3,黄河                          ,龙羊峡入库,-,166,-
2014/1/3,黄河                          ,龙羊峡蓄水量,2583.77,(188)亿,-
2014/1/3,黄河                          ,龙羊峡出库,-,596,-
2014/1/3,黄河                          ,刘家峡入库,-,667,-
2014/1/3,黄河                          ,刘家峡蓄水量,1724.01,(27)亿,-
2014/1/3,黄河                          ,刘家峡出库,-,570,-
2014/1/3,黄河                          ,兰州                          ,1511.17,756,-
2014/1/3,黄河                          ,下河沿                        ,1229.35,590,-
2014/1/3,黄河                          ,石嘴山                        ,1085.65,708,-
2014/1/3,黄河                          ,巴彦高勒                      ,1053.08,377,-
2014/1/3,黄河                          ,三湖河口                      ,1017.73,290,-
2014/1/3,黄河                          ,包头                          ,1002.97,265,-
2014/1/3,黄河                          ,头道拐                        ,987.49,296,-
2014/1/3,黄河                          ,万家寨蓄水量,974.32,(2.97)亿,-
2014/1/3,黄河                          ,万家寨上出库,-,810,-
2014/1/3,黄河                          ,万家寨下                      ,899.38,810,-
2014/1/3,黄河                          ,府谷                          ,807.26,573,-
2014/1/3,黄河                          ,吴堡                          ,635.55,244,*22.6
2014/1/3,黄河                          ,龙门                          ,380.15,145,*42.6
2014/1/3,汾河                          ,河津                          ,371.48,34.6,*0.661
2014/1/3,北洛河                        ,状头                          ,361.58,8.52,-
2014/1/3,泾河                          ,张家山                        ,420.32,1.98,-
2014/1/3,渭河                          ,咸阳                          ,380.47,31.7,-
2014/1/3,渭河                          ,华县(二)                      ,334.12,99,*11.5
2014/1/3,黄河                          ,潼关                          ,324.99,300,*22.4
2014/1/3,黄河                          ,史家滩蓄水量,317.93,(4.78)亿,-
2014/1/3,黄河                          ,三门峡                        ,272.96,318,*29.1
2014/1/3,黄河                          ,小浪底上蓄水量,256.2,(56)亿,-
2014/1/3,黄河                          ,小浪底                        ,133.52,433,*77.6
2014/1/3,伊河                          ,东湾                          ,-,-,-
2014/1/3,伊河                          ,陆浑坝上蓄水量,308.97,(3.11)亿,-
2014/1/3,伊河                          ,陆浑坝上出库,-,-,-
2014/1/3,伊河                          ,龙门镇                        ,147.21,0.57,-
2014/1/3,洛河                          ,卢氏                          ,-,-,-
2014/1/3,洛河                          ,故县水库蓄水量,522.18,(4.56)亿,-
2014/1/3,洛河                          ,故县水库出库,-,-,-
2014/1/3,洛河                          ,长水（二）                    ,377.86,0.4,-
2014/1/3,洛河                          ,白马寺                        ,113.32,5.68,-
2014/1/3,伊洛河                        ,黑石关                        ,108.42,8.6,-
2014/1/3,丹河                          ,山路坪                        ,-,-,-
2014/1/3,沁河                          ,五龙口                        ,-,-,-
2014/1/3,沁河                          ,武陟                          ,98.84,3.48,-
2014/1/3,黄河                          ,花园口                        ,88.23,435,-
2014/1/3,黄河                          ,夹河滩                        ,71.9,440,-
2014/1/3,黄河                          ,高村                          ,58.04,423,-
2014/1/3,黄河                          ,孙口                          ,42.94,376,-
2014/1/3,大汶河                        ,戴村坝,-,-,-
2014/1/3,东平湖                        ,东平湖老湖蓄水量,41.86,(3.61)亿,-
2014/1/3,大汶河                        ,出湖闸,-,-,-
2014/1/3,黄河                          ,艾山                          ,36.16,425,-
2014/1/3,黄河                          ,泺口                          ,24.91,383,-
2014/1/3,黄河                          ,利津                          ,8.98,233,-
2014/1/4,黄河                          ,唐乃亥                        ,2670.62,172,-
2014/1/4,黄河                          ,龙羊峡入库,-,178,-
2014/1/4,黄河                          ,龙羊峡蓄水量,2583.66,(188)亿,-
2014/1/4,黄河                          ,龙羊峡出库,-,639,-
